287 ,d ,2143,4864
2628 ,T ,2403,3328
2868 ,y ,882,2577
4915 ,G ,4493,922
4073 ,g ,3720,4599
138 ,G ,2872,1066
4686 ,k ,4301,3244
1978 ,u ,1703,204
1289 ,Z ,4919,24
816 ,R ,4569,457
311 ,f ,4987,2002
3774 ,Z ,2485,2347
1254 ,j ,3510,4548
4358 ,U ,4270,2545
4489 ,r ,4124,2073
3534 ,J ,1314,410
517 ,M ,4290,3657
2400 ,S ,3546,786
3581 ,y ,4770,1373
2995 ,f ,691,884
4925 ,S ,4164,558
3248 ,f ,4541,412
1588 ,F ,1861,2628
2456 ,m ,4443,3982
4286 ,G ,4003,2079
736 ,D ,1751,1966
2550 ,r ,2091,911
1066 ,Y ,3607,4533
789 ,V ,4369,4418
4144 ,o ,3287,1018
3272 ,q ,1905,1881
577 ,I ,4894,3663
3592 ,b ,1875,4475
1791 ,b ,4141,2769
3134 ,E ,511,4533
1456 ,k ,2829,1223
3197 ,s ,930,976
1950 ,E ,4360,4397
3217 ,X ,3203,4404
3096 ,I ,2012,3235
1100 ,A ,2607,605
2759 ,W ,4760,243
3217 ,W ,4534,4470
3891 ,m ,4291,3097
2341 ,F ,4427,913
2050 ,X ,278,4084
2881 ,M ,8,3019
3396 ,H ,2868,1438
330 ,r ,1952,3538
3907 ,V ,1836,4931
2550 ,B ,3979,4283
3087 ,P ,3961,3807
3550 ,K ,2542,644
2926 ,i ,2725,2334
1305 ,q ,3491,3329
4809 ,e ,3996,3868
4224 ,A ,1123,1767
2970 ,O ,1198,4089
205 ,Q ,2292,1650
668 ,j ,1506,1340
3573 ,Q ,188,1328
2697 ,I ,3778,3483
1384 ,W ,812,3071
2970 ,M ,3064,4230
3766 ,u ,1401,1003
2517 ,a ,1126,4765
727 ,L ,473,4407
4749 ,T ,3324,533
4772 ,p ,1499,3644
1673 ,N ,1417,3182
3439 ,P ,4028,778
1820 ,K ,4711,4563
4412 ,J ,4566,4623
2451 ,w ,1856,4415
3336 ,Y ,266,776
2349 ,X ,2038,8
4716 ,Z ,4259,4339
3646 ,H ,3025,1269
375 ,g ,2504,683
155 ,P ,2812,877
757 ,G ,2267,3139
4004 ,T ,4128,1999
1505 ,j ,1166,2859
2520 ,c ,528,3220
3624 ,z ,2636,643
3504 ,w ,4746,2385
7 ,V ,2252,4910
888 ,n ,3901,3447
3021 ,h ,3344,2929
877 ,A ,363,1046
673 ,X ,2721,1184
4658 ,P ,843,875
1180 ,N ,2153,1644
4275 ,C ,4100,1349
711 ,z ,2151,4446
4729 ,w ,1338,3194
3355 ,x ,676,2662
655 ,Q ,1836,550
4789 ,j ,2331,1165
1036 ,s ,712,4456
